page	preview_corto
1	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA  2024  INFORME ANUAL DE  RECAUDACIÓN TRIBUTARIA  A
5	Presentación .............................................................................
5	1. Los ingresos tributarios en 2024 ......................................................
5	El Impuesto sobre el Valor Añadido .......................................................
5	NOTA INFORMATIVA 1: LA EVOLUCIÓN DE LAS PRINCIPALES PARTIDAS DEL IRPF EN EL PERIODO 1995-2
5	44 NOTA INFORMATIVA 3: EL CRECIENTE PESO DE LAS PENSIONES EN LAS RETENCIONES .............
5	56 NOTA INFORMATIVA 6: LA EVOLUCIÓN DE LOS ACTIVOS POR IMPUESTOS DIFERIDOS Y SU CONVERSIÓN
5	66 NOTA INFORMATIVA 8: EL IMPACTO DE LA DANA EN LAS CIFRAS ECONÓMICAS Y RECAUDATORIAS ....
7	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 5 Presentación  El objetivo del Inform
7	El comportamiento de las series recaudatorias no siempre es fácil de entender. Sus fuertes
7	Hay, no obstante, razones para que se produzcan estas discrepancias; las modificaciones no
7	Por ello, para comprender adecuadamente el comportamiento de la recaudación y su relación 
7	Estos últimos se obtienen por agregación de las declaraciones y se vinculan con los tipos 
7	(1) Análisis de la evolución de la base imponible y del tipo medio efectivo, nivel en el q
7	(3) Análisis de la recaudación en términos de caja, detallando los elementos que hayan pod
7	El esquema utilizado cubre todo el proceso de pago de los impuestos: desde que se produce 
7	Este método de análisis es posible gracias al sistema informativo del que dispone la Agenc
7	Esta información agregada puede encontrarse en la página web de la Agencia Tributaria (htt
7	Por otra parte, esta misma estructura conceptual es la que sirve de apoyo a la previsión p
7	A partir de las bases imponibles y de hipótesis sobre el comportamiento de los tipos efect
7	El informe incluye un texto breve con los principales hechos que caracterizaron la evoluci
7	Junto a este fichero de cuadros se ponen a disposición de los usuarios dos más, uno con la
7	Además, algunos de los cuadros se completan con ficheros que incluyen información más deta
9	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 7 Resumen  Los ingresos tributarios e
9	El aumento de los ingresos tuvo como fundamento principal el comportamiento de las bases, 
9	Como ya sucedió en 2023, la recaudación vio limitado su crecimiento por el impacto de los 
9	El resultado de la evolución de las bases y de los cambios normativos fue un crecimiento d
9	s por el progresivo fin de las medidas sobre los productos energéticos y alimenticios vige
9	El contexto económico se caracterizó por la tendencia alcista de la actividad desde comien
9	Todos los indicadores fiscales (las ventas diarias, las ventas mensuales de Grandes Empres
9	Todos ellos dieron una señal alcista inequívoca, además con la novedad, a partir de mitad 
9	No obstante, en el caso de la demanda interior, que es una variable más relacionada con lo
9	En 2024 se cerraron las diferencias entre el comportamiento de los ingresos por impuestos 
9	Los ingresos por el IRPF crecieron en 2024 un 7,6%. Los cambios normativos supusieron una 
9	Los ingresos en el Impuesto sobre Sociedades crecieron un 11,5%. También en este caso los 
9	El resto hasta alcanzar el incremento de los ingresos se explica por la progresiva elimina
9	El crecimiento de los ingresos por Impuestos Especiales fue del 6,6%.
9	Hay que tener en cuenta que en 2024 se recuperó el Impuesto sobre la Electricidad, residua
9	Si se corrige la recaudación por estos dos motivos que supusieron algo más de 1.000 millon
10	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 8 1.  LOS INGRESOS TRIBUTARIOS EN 2024
10	En 2024 volvieron a concurrir los dos elementos que caracterizaron la evolución de los ing
10	Si solo se tienen en cuenta las rentas y el gasto final sujeto a IVA (el valor de los cons
10	Las rentas volvieron a crecer con intensidad (un 8,9%, en 2023 lo hicieron un 8%) tanto la
10	En cuanto al segundo elemento, los cambios normativos y de gestión, minoraron la recaudaci
10	En los primeros el impacto fue muy negativo, de 4.828 millones, sumando el IRPF, el Impues
10	Por el contrario, en los impuestos indirectos las medidas incrementaron la recaudación en 
11	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024 Página 9 En 2024 la actividad económica mostr
11	El indicador de la actividad en términos reales más habitualmente utilizado, el PIB en tér
11	En términos interanuales las tasas fueron elevándose desde el 2,2% del segundo semestre de
11	La contribución de la demanda externa mejoró en la parte central del año y las exportacion
11	En términos nominales la situación fue muy distinta como consecuencia del fin de las tensi
11	Su comportamiento a lo largo del año (Gráfico 1.1) fue un tanto irregular en paralelo con 
11	A diferencia del PIB, la demanda interior en 2024 creció a un ritmo similar (6,2%) al de 2
11	En lo que se refiere a los indicadores de carácter fiscal, todos ellos dieron una señal al
11	En los Gráficos 1.3 y 1.4 se puede comprobar: en el primero con  INFORME ANUAL DE RECAUDAC
12	datos diarios en media móvil de 28 días comparando la evolución en 2023 y 2024, y en el se
12	Las exportaciones, que venían de números rojos en prácticamente todo el año 2023, se recup
12	La mejora que se produjo en las ventas a lo largo de 2024 también se pudo seguir en tiempo
12	La diferencia con las ventas diarias proporcionadas por el SII consiste en que, mientras e
